county_fips,error
02013,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02013&format=csv
02016,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02016&format=csv
02020,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02020&format=csv
02050,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02050&format=csv
02060,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02060&format=csv
02068,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02068&format=csv
02070,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02070&format=csv
02090,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02090&format=csv
02100,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02100&format=csv
02105,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02105&format=csv
02110,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02110&format=csv
02122,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02122&format=csv
02130,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02130&format=csv
02150,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02150&format=csv
02158,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02158&format=csv
02164,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02164&format=csv
02170,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02170&format=csv
02180,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02180&format=csv
02185,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02185&format=csv
02188,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02188&format=csv
02195,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02195&format=csv
02198,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02198&format=csv
02220,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02220&format=csv
02230,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02230&format=csv
02240,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02240&format=csv
02261,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02261&format=csv
02275,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02275&format=csv
02282,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02282&format=csv
02290,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=02290&format=csv
15001,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=15001&format=csv
15003,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=15003&format=csv
15005,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=15005&format=csv
15007,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=15007&format=csv
15009,500 Server Error: Internal Server Error for url: https://nassgeodata.gmu.edu/axis2/services/CDLService/GetCDLStat?year=2016&fips=15009&format=csv
