feature,importance
num__CSMOKING,0.43710467
num__DIABETES,0.07473185
num__cropland_diversity,0.058761485
num__median_income,0.048455883
num__pct_hispanic,0.044103287
num__pesticide_chlorophenoxy_kg,0.03768227
num__pct_white,0.03488289
num__YEAR,0.033322427
num__pct_black,0.032800213
num__pesticide_anilide_kg,0.031704668
num__population,0.029053012
num__OBESITY,0.02543758
num__county_crop_concentration,0.023230588
num__median_age,0.018408982
num__pesticide_other_kg,0.01612551
num__pct_asian,0.014651857
num__pesticide_triazine_kg,0.012179554
num__rural_binary,0.011674735
num__pesticide_total_kg,0.00830723
num__pesticide_respiratory_kg,0.007381272
num__pesticide_organochlorine_kg,0.0
num__pct_cropland,0.0
