feature,coefficient,abs_coef
num__median_income,-1.3251179971730276,1.3251179971730276
num__pct_hispanic,-0.5553295098913635,0.5553295098913635
num__YEAR,-0.4906408784710071,0.4906408784710071
num__median_age,0.2109944929560265,0.2109944929560265
num__pesticide_sulfentrazone_kg,-0.2011528158646626,0.2011528158646626
num__cropland_diversity,-0.18907443462694612,0.18907443462694612
num__pesticide_acetochlor_kg,-0.16482198405475407,0.16482198405475407
num__county_crop_concentration,0.15453975896797498,0.15453975896797498
num__pesticide_butralin_kg,0.1518772633315929,0.1518772633315929
num__pct_black,-0.14257825852442266,0.14257825852442266
num__pesticide_dimethoate_kg,-0.1308506696719123,0.1308506696719123
num__cropland_acres,-0.13056093758866685,0.13056093758866685
num__pesticide_mesotrione_kg,-0.1263857695983927,0.1263857695983927
num__total_area_acres,-0.12260127119258085,0.12260127119258085
num__pesticide_sulfoxaflor_kg,0.09164934860091686,0.09164934860091686
