target,exposure_set,model,rmse,mae,r2,rmse_ci_low,rmse_ci_high
COPD,Aggs_raw,Simple LR (1 feat),2.2951538553727304,1.8463064045973865,0.010316612951454807,2.1916803699688026,2.384083690594337
COPD,Aggs_raw,"Multiple LR (Ridge, numeric)",0.8731514823783321,0.672711445052363,0.85676410566142,0.834279570455663,0.9126971129386012
COPD,Aggs_raw,"Multiple LR (Ridge, full preprocess)",0.8731514823783321,0.672711445052363,0.85676410566142,0.834279570455663,0.9126971129386012
COPD,Aggs_raw,Ridge (tuned),0.8730352444773831,0.67253621300338,0.8568022395518385,0.83427252079366,0.9123223621282011
COPD,Aggs_raw,Lasso (tuned),0.8731103041788517,0.6724595976934439,0.8567776154756233,0.8343152755525056,0.9124708585144226
COPD,Aggs_raw,ElasticNet (tuned),0.8731028355404639,0.6724977318613009,0.8567800657310352,0.8343046373954038,0.9124783233289171
COPD,Aggs_raw,XGBoost (tuned),0.7719622342609308,0.5903436022894052,0.8880395123043623,0.7369489223596806,0.8033306295143656
COPD,Aggs_engineered,Simple LR (1 feat),2.2951538553727304,1.8463064045973865,0.010316612951454807,2.1916803699688026,2.384083690594337
COPD,Aggs_engineered,"Multiple LR (Ridge, numeric)",0.8609121320424249,0.6653208842562622,0.8607515631360847,0.8210939965313852,0.8970156300159539
COPD,Aggs_engineered,"Multiple LR (Ridge, full preprocess)",0.8609121320424249,0.6653208842562622,0.8607515631360847,0.8210939965313852,0.8970156300159539
COPD,Aggs_engineered,Ridge (tuned),0.8605057206722367,0.6654324816105612,0.8608830023112801,0.8210653442150776,0.8963258593047558
COPD,Aggs_engineered,Lasso (tuned),0.8601595774887313,0.6655392532269261,0.8609949009637032,0.8207432607835693,0.8957976565851365
COPD,Aggs_engineered,ElasticNet (tuned),0.8596486831245616,0.6653615769903669,0.8611599769174904,0.8204700386873266,0.894839787640929
COPD,Aggs_engineered,XGBoost (tuned),0.7630257889504093,0.5800532989063122,0.8906166787358998,0.7251558272674639,0.7917514885369972
COPD,Components_raw,Simple LR (1 feat),2.295080897401184,1.845704411394622,0.010379531735394742,2.1922512379021217,2.3829387587336655
COPD,Components_raw,"Multiple LR (Ridge, numeric)",0.8874694727086,0.6818858207754137,0.8520280084923868,0.8498795158650141,0.9277537008686473
COPD,Components_raw,"Multiple LR (Ridge, full preprocess)",0.8874694727086,0.6818858207754137,0.8520280084923868,0.8498795158650141,0.9277537008686473
COPD,Components_raw,Ridge (tuned),0.8873056543610855,0.681723064393514,0.8520826318695016,0.8496724503277525,0.927532383917507
COPD,Components_raw,Lasso (tuned),0.8873365356195366,0.6816983137837798,0.8520723356340592,0.8496384982897655,0.9276471925143293
COPD,Components_raw,ElasticNet (tuned),0.8873736094828739,0.6817801374475192,0.8520599742258194,0.8497416290455513,0.9276463152260888
COPD,Components_raw,XGBoost (tuned),0.763913273223918,0.5884612034850172,0.8903620807028623,0.7309007048571686,0.7919812062773941
COPD,Components_engineered,Simple LR (1 feat),2.299603518602744,1.8476188599352106,0.0064754529390498305,2.2000215478071947,2.3849400478029
COPD,Components_engineered,"Multiple LR (Ridge, numeric)",0.8820367520002368,0.6775475624638966,0.8538341099634567,0.8430969672364437,0.9244531713420874
COPD,Components_engineered,"Multiple LR (Ridge, full preprocess)",0.8820367520002368,0.6775475624638966,0.8538341099634567,0.8430969672364437,0.9244531713420874
COPD,Components_engineered,Ridge (tuned),0.8819437511735453,0.6773442848843598,0.8538649314273774,0.8432242576373821,0.9244723510319314
COPD,Components_engineered,Lasso (tuned),0.8819013080266149,0.6771423256469756,0.8538789964580197,0.8431211765089407,0.9243797479359139
COPD,Components_engineered,ElasticNet (tuned),0.881919758711887,0.6772215206603108,0.8538728822571993,0.843123309422129,0.9243952383517368
COPD,Components_engineered,XGBoost (tuned),0.763520410855403,0.5874444918448355,0.8904748200374308,0.730780133398456,0.7937664304659166
